actual_child,actual_path,path_parent
n/a,4-3-2/7.5.2,4-3-2/7.5
general,4-3-2/7.5.3,4-3-2/7.5
general,4-3-2/7.5.4,4-3-2/7.5
general,4-3-2/7.5.5,4-3-2/7.5
survey,4-3-2/7.5.6,4-3-2/7.5
general,4-3-2/7.5.7,4-3-2/7.5
gear unit,4-3-2/7.5.8,4-3-2/7.5
reduction gear,4-3-2/7.5.8,4-3-2/7.5
power take-off gear,4-3-2/7.5.8,4-3-2/7.5
n/a,4-3-2/7.5.9,4-3-2/7.5
general,4-3-2/7.7,4-3-2/7
general,4-3-2/7.9.1,4-3-2/7.9
general,4-3-2/7.9.2(a),4-3-2/7.9
general,4-3-2/7.9.2(b),4-3-2/7.9
n/a,4-3-2/8,4-3-2/8
survey,4-3-2/9.1,4-3-2/9
survey,4-3-2/9.3,4-3-2/9
survey,4-3-2/9.5.1,4-3-2/9.5
survey,4-3-2/9.5.2,4-3-2/9.5
survey,4-3-2/9.7,4-3-2/9
survey,4-3-2/11.1.1,4-3-2/11.1
survey,4-3-2/11.1.2(a),4-3-2/11.1
survey,4-3-2/11.1.2(b),4-3-2/11.1
survey,4-3-2/11.1.2(c),4-3-2/11.1
survey,4-3-2/11.1.2(d),4-3-2/11.1
survey,4-3-2/11.1.2(e),4-3-2/11.1
survey,4-3-2/11.1.2(f),4-3-2/11.1
survey,4-3-2/11.1.3,4-3-2/11.1
survey,4-3-2/11.3.1,4-3-2/11.3
survey,4-3-2/11.3.2,4-3-2/11.3
survey,4-3-2/11.3.3,4-3-2/11.3
survey,4-3-2/11.5,4-3-2/11
survey,4-3-2/11.6,4-3-2/11
survey,4-3-2/11.7,4-3-2/11
tail shaft,4-3-2/13.1,4-3-2/13
general,4-3-2/13.3.1,4-3-2/13.3
shaft seal,4-3-2/13.3.2,4-3-2/13.3
survey,4-3-2/13.3.3,4-3-2/13.3
stern tube,4-3-2/13.5.1,4-3-2/13.5
stern tube,4-3-2/13.5.2,4-3-2/13.5
stern tube,4-3-2/13.5.3,4-3-2/13.5
survey,4-3-2/13.7.1,4-3-2/13.7
survey,4-3-2/13.7.2,4-3-2/13.7
tail shaft,4-3-2/14.1,4-3-2/14
shaft seal,4-3-2/14.1,4-3-2/14
shaft seal,4-3-2/14.3,4-3-2/14
n/a,4-3-2/14.3.1,4-3-2/14.3
n/a,4-3-2/14.3.2,4-3-2/14.3
n/a,4-3-2/14.5,4-3-2/14
survey,4-3-2/14.7.1,4-3-2/14.7
survey,4-3-2/14.7.2,4-3-2/14.7
tail shaft,4-3-2/15.1,4-3-2/15
bearing,4-3-2/15.3.1(a),4-3-2/15.3
general,4-3-2/15.3.1(b),4-3-2/15.3
n/a,4-3-2/15.3.1(c),4-3-2/15.3
n/a,4-3-2/15.3.1(d),4-3-2/15.3
n/a,4-3-2/15.3.1(e),4-3-2/15.3
general,4-3-2/15.3.1(f),4-3-2/15.3
bearing,4-3-2/15.3.1(g),4-3-2/15.3
bearing,4-3-2/15.3.2(a),4-3-2/15.3
general,4-3-2/15.3.2(b),4-3-2/15.3
general,4-3-2/15.3.2(c),4-3-2/15.3
general,4-3-2/15.3.2(d),4-3-2/15.3
bearing,4-3-2/15.3.2(e),4-3-2/15.3
propulsion shaft,4-3-2/15.3.2(f),4-3-2/15.3
n/a,4-3-2/15.3.3(a),4-3-2/15.3
propulsion shaft,4-3-2/15.3.3(b),4-3-2/15.3
n/a,4-3-2/15.5.1,4-3-2/15.5
survey,4-3-2/15.5.2,4-3-2/15.5
bearing,4-3-2/15.5.3,4-3-2/15.5
n/a,4-3-2/15.5.4,4-3-2/15.5
